,date,season,away,home,eloaway,elohome,quality,scoreaway,scorehome,playoff,Date,Away Team,Home Team,Playoff Game?,Away Line Close,Away Odds Close,Home Odds Close,Total Score Close,point_diff,win,cover,Key,Week_Home,At_Home,TeamScore_Home,OppScore_Home,PCmp_Home,PAtt_Home,PYds_Home,PTD_Home,Int_Home,Sk_Home,SkYds_Home,PY/A_Home,PNY/A_Home,Rate_Home,RAtt_Home,RYds_Home,RY/A_Home,RTD_Home,FGM_Home,FGA_Home,XPM_Home,XPA_Home,Pnt_Home,PuntYds_Home,3DConv_Home,3DAtt_Home,4DConv_Home,4DAtt_Home,Key_Home,PCmp_Opp_Home,PAtt_Opp_Home,PYds_Opp_Home,PTD_Opp_Home,Int_Opp_Home,Sk_Opp_Home,SkYds_Opp_Home,PY/A_Opp_Home,PNY/A_Opp_Home,Rate_Opp_Home,RAtt_Opp_Home,RYds_Opp_Home,RY/A_Opp_Home,RTD_Opp_Home,FGM_Opp_Home,FGA_Opp_Home,XPM_Opp_Home,XPA_Opp_Home,Pnt_Opp_Home,PuntYds_Opp_Home,3DConv_Opp_Home,3DAtt_Opp_Home,4DConv_Opp_Home,4DAtt_Opp_Home,Week_Away,At_Away,TeamScore_Away,OppScore_Away,PCmp_Away,PAtt_Away,PYds_Away,PTD_Away,Int_Away,Sk_Away,SkYds_Away,PY/A_Away,PNY/A_Away,Rate_Away,RAtt_Away,RYds_Away,RY/A_Away,RTD_Away,FGM_Away,FGA_Away,XPM_Away,XPA_Away,Pnt_Away,PuntYds_Away,3DConv_Away,3DAtt_Away,4DConv_Away,4DAtt_Away,Key_Away,PCmp_Opp_Away,PAtt_Opp_Away,PYds_Opp_Away,PTD_Opp_Away,Int_Opp_Away,Sk_Opp_Away,SkYds_Opp_Away,PY/A_Opp_Away,PNY/A_Opp_Away,Rate_Opp_Away,RAtt_Opp_Away,RYds_Opp_Away,RY/A_Opp_Away,RTD_Opp_Away,FGM_Opp_Away,FGA_Opp_Away,XPM_Opp_Away,XPA_Opp_Away,Pnt_Opp_Away,PuntYds_Opp_Away,3DConv_Opp_Away,3DAtt_Opp_Away,4DConv_Opp_Away,4DAtt_Opp_Away
200,2014-10-02,2014,min,gnb,1487.57954697193,1544.3999391727998,61.0,10,42,0,2014-10-02,min,gnb,,8.5,4.46,1.25,46.5,-32,0,0,2014-10-02gnbmin,5,,23.0,24.0,21.5,32.5,233.5,2.25,0.25,2.5,16.25,7.675,6.775,105.9,20.75,73.0,3.5,0.5,1.25,1.5,2.25,2.25,3.25,141.25,5.25,11.0,0.0,0.5,2014-10-02gnbmin,20.0,32.25,214.0,1.25,1.25,1.5,5.5,6.775,6.35,79.4,38.25,176.0,4.575,1.25,1.25,1.5,2.75,2.75,2.25,100.75,7.5,14.25,1.25,1.75,5,@,22.75,21.0,18.0,30.25,209.5,0.75,1.0,2.0,13.5,7.449999999999999,6.8,80.65,29.25,134.75,4.2,1.25,2.25,2.75,2.0,2.0,4.0,183.0,4.75,12.75,0.25,0.5,2014-10-02gnbmin,22.5,33.25,241.0,1.5,1.0,2.0,12.25,7.6,6.85,92.65,28.25,113.25,4.1,0.75,1.25,1.5,2.25,2.5,5.0,231.75,7.0,14.0,0.0,0.25
201,2014-10-05,2014,rav,clt,1585.9591321911,1586.488313398,85.0,13,20,0,2014-10-05,rav,clt,,2.5,2.26,1.719,49.5,-7,0,0,2014-10-05cltrav,5,,34.0,23.75,29.25,42.75,326.0,3.25,1.0,1.25,5.25,7.699999999999999,7.4,107.2,30.5,118.0,3.975,0.5,2.0,2.0,4.0,4.0,3.5,173.75,5.75,13.25,0.75,1.5,2014-10-05cltrav,18.75,33.0,251.25,1.75,1.25,2.0,11.25,7.9,7.1,81.125,23.75,104.75,4.625,1.0,1.5,1.75,2.75,2.75,5.0,236.5,4.25,11.25,0.0,0.0,5,@,25.75,15.0,24.25,38.25,259.75,1.75,0.5,0.75,4.0,7.2,7.075,99.05,29.75,134.5,4.525,1.0,2.25,2.75,2.5,2.5,2.5,117.5,6.75,13.5,0.5,1.0,2014-10-05cltrav,21.5,33.5,260.25,0.75,0.25,1.0,8.75,8.325,7.9,95.05,25.0,82.5,3.475,0.5,2.0,2.75,1.0,1.0,4.0,177.0,6.25,13.0,0.0,0.0
202,2014-10-05,2014,htx,dal,1440.36984726783,1565.84973947276,61.0,17,20,0,2014-10-05,htx,dal,,5.0,3.1,1.425,47.5,-3,0,1,2014-10-05dalhtx,5,,28.75,21.5,20.5,29.5,218.75,1.75,1.0,2.0,15.25,8.025,7.2,100.1,32.5,165.0,5.05,1.25,2.0,2.0,3.25,3.25,3.0,142.75,6.75,12.25,0.25,0.25,2014-10-05dalhtx,24.0,35.75,271.25,2.0,1.25,1.25,4.25,7.775,7.375,95.425,21.5,108.5,5.625,0.25,0.75,1.25,2.75,2.75,3.0,128.75,5.25,11.25,0.5,1.25,5,@,21.75,16.75,18.5,28.25,225.25,1.25,1.25,1.25,2.75,8.1,7.8,93.425,32.0,114.75,3.475,0.5,2.0,2.25,2.25,2.25,4.75,215.25,5.75,13.75,0.25,0.5,2014-10-05dalhtx,24.5,37.75,237.5,1.25,1.0,1.5,9.75,6.75,6.225,86.125,26.25,130.25,5.1,0.75,1.0,1.0,1.75,2.0,5.5,234.5,3.5,12.25,0.5,1.0
203,2014-10-05,2014,tam,nor,1354.9320354959,1542.2206568651,23.0,31,37,0,2014-10-05,tam,nor,,11.0,5.61,1.181,47.5,-6,0,1,2014-10-05nortam,5,,23.75,27.5,28.75,40.25,294.5,1.75,0.75,1.25,6.25,7.475,7.125,99.55,25.0,131.25,5.7,1.25,1.0,1.25,2.75,3.0,3.25,144.25,7.0,12.25,0.25,0.5,2014-10-05nortam,23.5,35.75,272.5,1.75,0.0,1.25,6.75,7.8,7.325,104.95,28.0,123.5,4.275,1.0,2.25,2.25,2.75,2.75,4.0,178.0,6.75,14.0,0.5,0.5,5,@,18.0,29.75,20.25,33.75,194.25,1.25,1.25,2.0,16.5,6.425,5.675000000000001,73.575,21.0,96.5,4.525,0.75,0.75,1.0,2.25,2.25,4.25,171.75,5.0,11.5,0.25,0.5,2014-10-05nortam,25.0,33.0,272.5,2.0,0.25,2.25,14.0,8.875,7.975,115.4,31.25,115.25,3.65,1.0,1.75,2.5,3.5,3.5,3.5,153.0,6.25,12.75,0.5,0.5
204,2014-10-05,2014,atl,nyg,1475.6243688654,1513.0978504094999,53.0,20,30,0,2014-10-05,atl,nyg,,4.0,2.76,1.51,50.5,-10,0,0,2014-10-05nygatl,5,,25.75,22.75,23.25,34.75,231.25,2.25,1.25,1.5,12.25,7.025,6.4,92.65,32.25,120.25,3.525,1.0,1.0,1.0,3.25,3.25,4.5,190.5,6.0,13.25,0.5,1.25,2014-10-05nygatl,19.0,32.25,254.5,1.0,1.75,2.25,12.75,8.225,7.35,74.825,25.0,101.25,4.2,1.25,1.75,2.0,2.0,2.0,3.75,177.75,4.5,12.0,0.25,0.5,5,@,32.75,28.25,26.0,39.0,322.25,2.5,1.5,1.25,9.5,8.875,8.375,100.05,25.5,121.75,4.9,1.25,1.0,1.25,4.25,4.25,4.0,189.25,6.75,12.25,0.25,0.5,2014-10-05nygatl,21.5,33.0,276.25,0.75,0.5,0.75,6.5,9.025,8.75,95.4,33.75,153.5,4.475,2.25,1.75,2.75,3.0,3.0,3.75,166.25,5.75,13.25,0.5,0.5
205,2014-10-05,2014,kan,sfo,1546.56437346159,1620.5266079476,79.0,17,22,0,2014-10-05,kan,sfo,,4.0,2.81,1.495,43.5,-5,0,0,2014-10-05sfokan,5,,22.0,22.25,20.75,31.0,212.25,1.5,1.0,2.5,15.75,7.475,6.475,91.25,30.5,138.5,4.425000000000001,0.75,1.5,2.0,2.5,2.5,3.75,161.5,7.0,14.0,0.5,0.75,2014-10-05sfokan,21.5,37.0,217.5,1.75,1.25,1.25,9.0,6.2,5.775,79.4,19.75,69.75,3.275,0.25,1.0,1.0,2.75,2.75,3.75,171.25,5.25,11.0,0.5,1.0,5,@,25.5,19.75,21.0,32.0,207.25,1.75,0.75,3.25,15.5,7.2,6.05,99.0,31.75,145.25,4.45,1.25,1.0,1.5,3.0,3.0,4.0,182.0,7.0,14.0,0.5,1.0,2014-10-05sfokan,21.0,33.0,221.5,2.0,0.5,3.0,14.0,7.45,6.5,100.625,23.25,116.5,5.175,0.0,1.75,2.0,2.0,2.0,5.5,264.0,4.0,12.0,0.25,0.75
206,2014-10-05,2014,pit,jax,1542.85020415906,1346.2465898279,16.0,17,9,0,2014-10-05,pit,jax,,-6.0,1.434,3.05,47.0,8,1,1,2014-10-05jaxpit,5,,14.5,38.0,21.25,34.75,209.75,1.5,1.25,5.0,32.5,7.075000000000001,5.3,75.85,19.75,69.75,3.475,0.25,0.75,1.25,1.75,1.75,5.75,274.5,4.5,12.75,0.0,1.0,2014-10-05jaxpit,28.25,40.75,320.75,2.75,0.25,3.0,23.5,8.5,7.4,113.05,30.75,130.5,4.025,1.0,2.75,2.75,4.25,4.25,3.75,165.5,7.75,15.75,0.5,1.0,5,@,24.25,24.75,24.5,35.75,268.25,1.5,0.5,2.75,15.25,7.9,6.95,98.725,27.0,143.75,5.2,0.75,2.25,2.5,2.5,2.5,4.25,182.75,4.75,12.25,0.75,0.75,2014-10-05jaxpit,22.25,35.75,239.5,1.75,0.25,1.75,15.5,7.025,6.3,96.225,24.0,113.25,4.525,0.75,2.5,2.5,2.25,2.25,4.0,185.0,4.5,12.0,0.5,0.75
207,2014-10-05,2014,nyj,sdg,1416.420011653365,1637.7587557533,51.0,0,31,0,2014-10-05,nyj,sdg,,7.0,3.56,1.344,44.5,-31,0,0,2014-10-05sdgnyj,5,,25.5,15.75,24.0,34.25,282.25,2.25,0.25,1.25,6.5,8.55,8.025,114.575,29.25,69.5,2.325,0.25,2.5,2.5,2.5,2.5,4.5,196.0,7.5,15.25,0.0,0.25,2014-10-05sdgnyj,23.25,34.75,228.5,1.5,0.5,2.5,21.0,7.3,6.225,95.5,21.5,97.25,4.975,0.5,0.75,0.75,1.5,1.5,4.0,192.0,6.0,12.25,0.0,1.25,5,@,19.75,24.0,20.5,34.25,215.0,1.0,1.25,2.25,15.5,6.675,5.825,73.0,31.0,151.25,4.875,1.0,2.0,2.0,1.75,1.75,4.75,227.25,6.5,14.75,0.75,1.25,2014-10-05sdgnyj,23.0,36.5,228.0,2.25,0.0,3.5,25.75,6.85,5.625,101.0,21.25,63.25,2.875,0.25,1.5,1.75,2.5,2.5,6.0,279.25,5.75,14.0,0.0,0.0
208,2014-10-05,2014,chi,car,1503.51560321088,1606.4756774982,62.0,24,31,0,2014-10-05,chi,car,,1.5,2.06,1.854,46.5,-7,0,0,2014-10-05carchi,5,,18.25,24.0,23.75,35.75,256.75,1.5,0.0,2.5,20.5,7.75,6.7,101.0,23.25,71.0,3.2,0.25,2.0,2.25,1.25,1.25,5.0,238.75,5.75,13.5,0.5,0.5,2014-10-05carchi,23.25,36.0,233.0,2.0,0.75,2.0,16.25,7.075,6.45,96.85,24.75,140.75,5.475,0.75,1.0,1.75,3.0,3.0,3.5,157.5,6.25,12.75,0.5,0.75,5,@,23.0,25.0,25.75,39.0,242.25,2.5,1.0,2.0,11.5,6.45,5.9,94.725,24.25,106.75,4.025,0.0,1.25,1.25,2.75,2.75,3.75,152.75,5.5,11.75,0.5,0.75,2014-10-05carchi,21.25,31.75,250.25,1.75,1.5,2.25,9.5,8.325,7.575,91.65,26.0,122.5,4.5,0.75,2.5,2.75,2.5,2.5,2.25,103.5,5.25,12.0,0.5,1.0
209,2014-10-05,2014,buf,det,1489.0506678097,1527.87909408598,58.0,17,14,0,2014-10-05,buf,det,,4.5,2.97,1.454,43.0,3,1,1,2014-10-05detbuf,5,,21.25,15.5,23.75,37.0,276.0,1.25,0.75,2.75,18.0,8.175,7.25,92.075,28.25,87.25,3.175,1.0,1.0,2.25,2.25,2.25,3.75,188.0,8.25,15.75,0.25,0.5,2014-10-05detbuf,18.25,31.75,186.5,1.0,0.75,2.5,17.25,6.375,5.4,75.475,23.75,80.75,3.35,0.75,1.0,1.0,1.5,1.5,5.5,248.75,4.25,12.5,0.5,1.0,5,@,19.75,18.75,19.0,33.0,198.5,1.25,0.75,1.5,11.0,6.7,6.175,81.925,27.75,122.25,4.35,0.25,2.5,2.75,1.75,1.75,5.75,247.0,5.0,14.25,0.0,0.5,2014-10-05detbuf,27.0,40.0,266.25,1.5,1.25,2.75,12.25,7.35,6.65,90.375,24.5,71.5,3.125,0.0,2.0,2.0,1.75,1.75,5.5,226.75,5.0,13.75,0.25,1.0
