,Key,date,season,away,home,Away Line Close,Away Odds Close,Home Odds Close,point_diff,win,cover,eloaway,elohome,eloaway_lag1,elohome_lag1,eloaway_lag2,elohome_lag2,Unnamed: 0,quality,scoreaway,scorehome,playoff,Date,Away Team,Home Team,Playoff Game?,Total Score Close,Week_Home,At_Home,TeamScore_Home,OppScore_Home,PCmp_Home,PAtt_Home,PYds_Home,PTD_Home,Int_Home,Sk_Home,SkYds_Home,PY/A_Home,PNY/A_Home,Rate_Home,RAtt_Home,RYds_Home,RY/A_Home,RTD_Home,FGM_Home,FGA_Home,XPM_Home,XPA_Home,Pnt_Home,PuntYds_Home,3DConv_Home,3DAtt_Home,4DConv_Home,4DAtt_Home,Key_Home,PCmp_Opp_Home,PAtt_Opp_Home,PYds_Opp_Home,PTD_Opp_Home,Int_Opp_Home,Sk_Opp_Home,SkYds_Opp_Home,PY/A_Opp_Home,PNY/A_Opp_Home,Rate_Opp_Home,RAtt_Opp_Home,RYds_Opp_Home,RY/A_Opp_Home,RTD_Opp_Home,FGM_Opp_Home,FGA_Opp_Home,XPM_Opp_Home,XPA_Opp_Home,Pnt_Opp_Home,PuntYds_Opp_Home,3DConv_Opp_Home,3DAtt_Opp_Home,4DConv_Opp_Home,4DAtt_Opp_Home,Week_Away,At_Away,TeamScore_Away,OppScore_Away,PCmp_Away,PAtt_Away,PYds_Away,PTD_Away,Int_Away,Sk_Away,SkYds_Away,PY/A_Away,PNY/A_Away,Rate_Away,RAtt_Away,RYds_Away,RY/A_Away,RTD_Away,FGM_Away,FGA_Away,XPM_Away,XPA_Away,Pnt_Away,PuntYds_Away,3DConv_Away,3DAtt_Away,4DConv_Away,4DAtt_Away,Key_Away,PCmp_Opp_Away,PAtt_Opp_Away,PYds_Opp_Away,PTD_Opp_Away,Int_Opp_Away,Sk_Opp_Away,SkYds_Opp_Away,PY/A_Opp_Away,PNY/A_Opp_Away,Rate_Opp_Away,RAtt_Opp_Away,RYds_Opp_Away,RY/A_Opp_Away,RTD_Opp_Away,FGM_Opp_Away,FGA_Opp_Away,XPM_Opp_Away,XPA_Opp_Away,Pnt_Opp_Away,PuntYds_Opp_Away,3DConv_Opp_Away,3DAtt_Opp_Away,4DConv_Opp_Away,4DAtt_Opp_Away
0,2014-10-19bufmin,2014-10-19,2014,min,buf,7.0,3.64,1.333,-1,0,1,1463.1939795442,1487.7958601314,1510.5799758999,1511.812436455,1487.57954697193,1489.0506678097,231,25.0,16,17,0,2014-10-19,min,buf,,43.5,7,,16.5,24.0,24.5,41.25,246.75,1.5,1.0,3.0,20.75,6.550000000000001,5.575,79.025,22.5,75.0,3.35,0.25,1.25,1.5,1.25,1.25,6.75,308.25,6.0,15.25,0.25,1.0,2014-10-19bufmin,22.0,32.5,266.0,2.0,0.75,3.25,13.0,8.675,7.575,104.525,26.5,59.75,2.325,0.0,2.0,3.0,2.5,2.5,5.75,266.0,4.5,13.25,0.0,0.0,7,@,15.75,26.75,20.25,35.25,209.0,0.0,1.25,4.0,23.5,6.875,5.875,63.275000000000006,27.25,120.0,4.1,1.25,2.25,2.5,1.0,1.0,5.0,216.75,5.0,14.25,0.5,1.0,2014-10-19bufmin,21.5,32.75,223.75,2.25,0.75,2.0,14.75,7.35,6.475,99.05,27.5,121.75,4.55,1.25,0.25,0.75,3.5,3.75,5.5,270.5,6.0,13.0,0.25,0.5
1,2014-10-19dalnyg,2014-10-19,2014,nyg,dal,5.0,3.05,1.434,-10,0,0,1498.88246123184,1612.4374714172,1531.7266626107,1576.4452400919802,1513.0978504095,1565.84973947276,233,75.0,21,31,0,2014-10-19,nyg,dal,,47.0,7,,30.5,22.0,22.25,31.25,256.75,2.25,0.5,0.75,6.5,8.525,8.15,114.775,33.25,153.75,4.575,1.0,2.0,2.25,3.5,3.5,3.25,123.5,7.75,13.75,0.0,0.0,2014-10-19dalnyg,23.0,34.75,235.25,1.25,1.25,1.0,1.5,6.550000000000001,6.375,77.5,23.0,120.25,5.525,0.75,1.5,1.75,2.5,2.5,3.5,150.0,5.25,12.25,0.75,1.5,7,@,26.25,19.5,21.25,31.25,220.5,2.0,0.25,2.75,15.75,7.575,6.525,105.125,34.5,139.25,3.975,1.0,1.75,1.75,3.0,3.0,5.5,258.5,6.5,14.25,0.0,0.5,2014-10-19dalnyg,22.5,36.75,271.75,1.25,2.5,1.5,8.25,7.65,7.125,68.275,24.75,124.5,4.949999999999999,1.0,1.25,1.25,2.25,2.25,5.0,218.5,2.25,11.5,0.5,1.0
2,2014-10-19gnbcar,2014-10-19,2014,car,gnb,6.5,3.48,1.357,-21,0,0,1631.3298879741,1580.2036900656,1614.9423759077,1565.8832315240002,1606.4756774982,1544.3999391727998,238,87.0,17,38,0,2014-10-19,car,gnb,,48.5,7,,28.5,17.5,19.25,29.75,215.25,2.75,0.25,2.0,11.25,7.8,6.95,111.6,25.5,102.25,3.95,0.75,0.75,1.0,3.75,3.75,4.0,172.75,5.0,11.5,0.25,0.5,2014-10-19gnbcar,21.75,36.0,231.0,1.0,2.0,2.5,13.25,6.925,6.275,67.19999999999999,31.75,143.25,4.5,0.75,1.0,1.25,2.0,2.0,3.0,133.75,6.75,13.5,0.75,1.5,7,@,24.25,34.0,24.25,39.0,267.5,1.75,0.5,1.75,16.75,7.35,6.575,91.9,24.0,86.75,3.65,0.75,1.75,2.0,2.5,2.5,3.5,170.75,6.75,14.0,0.75,0.75,2014-10-19gnbcar,26.25,35.0,274.75,2.25,1.0,1.5,9.0,8.125,7.625,108.7,29.25,167.25,5.525,1.5,2.0,2.75,4.0,4.0,2.25,106.0,7.0,13.25,0.25,0.5
3,2014-10-19ravatl,2014-10-19,2014,atl,rav,7.0,3.64,1.333,-22,0,0,1420.06373165152,1600.0703711938,1459.6990680046,1560.67726467152,1475.6243688654,1585.9591321911,236,55.0,7,29,0,2014-10-19,atl,rav,,49.5,7,,30.5,17.0,21.0,32.0,261.75,2.25,0.5,1.0,9.5,8.65,8.275,106.925,28.25,136.5,4.949999999999999,1.25,2.0,2.5,3.5,3.5,2.75,138.0,5.5,12.25,0.25,1.0,2014-10-19ravatl,23.75,38.0,280.0,1.25,0.75,2.0,16.0,8.25,7.574999999999999,92.525,26.0,91.5,3.6,0.75,1.0,1.75,2.0,2.0,4.0,175.75,6.0,13.25,0.0,0.75,7,@,29.25,28.0,24.25,37.75,296.0,2.0,1.25,1.75,12.75,8.525,7.875,94.375,23.0,99.75,4.275,1.25,1.0,1.25,3.75,3.75,4.25,178.75,6.0,13.0,0.25,1.0,2014-10-19ravatl,21.5,33.5,259.5,1.0,0.25,1.5,9.75,8.075,7.525,95.05,31.25,133.0,4.075,1.75,2.25,2.5,2.25,2.5,4.25,191.75,6.25,14.0,0.5,0.5
4,2014-10-20pithtx,2014-10-20,2014,htx,pit,3.0,2.46,1.617,-7,0,0,1413.24058781887,1505.38927914123,1429.040223132134,1551.35791589652,1440.36984726783,1542.85020415906,239,36.0,23,30,0,2014-10-20,htx,pit,,44.5,7,,22.0,21.5,24.75,37.25,244.25,1.75,0.25,3.0,12.75,6.9,6.05,98.9,30.25,149.5,4.8,0.25,1.5,1.75,2.5,2.5,4.75,208.75,5.75,14.25,0.5,1.0,2014-10-20pithtx,20.0,34.25,247.75,1.25,0.75,1.5,12.25,8.275,7.575,87.2,20.5,79.75,3.85,1.0,2.0,2.0,2.0,2.0,4.5,196.25,4.5,12.0,0.5,0.75,7,@,21.25,25.0,19.25,30.0,226.5,0.75,1.5,2.5,6.75,7.775,6.925000000000001,76.525,25.75,117.0,4.45,1.25,1.25,1.5,2.5,2.5,5.5,249.75,3.0,11.75,0.5,1.0,2014-10-20pithtx,23.75,39.25,281.25,2.25,1.0,1.75,7.0,7.45,6.949999999999999,93.8,33.25,130.5,3.925,0.5,2.0,2.25,2.5,2.5,5.25,229.0,6.25,14.5,0.0,0.25
5,2014-10-23densdg,2014-10-23,2014,sdg,den,9.0,4.58,1.24,-14,0,0,1625.3208271151,1706.8468233843,1654.7366924194,1677.9525893379,1647.4457355292,1668.7778990829,240,97.0,21,35,0,2014-10-23,sdg,den,,51.0,8,,33.5,20.0,26.5,39.0,324.25,3.25,0.75,1.5,10.0,8.85,8.15,116.0,27.0,95.25,3.4000000000000004,0.75,1.0,1.25,4.0,4.0,6.0,275.0,6.25,14.25,0.0,0.0,2014-10-23densdg,21.75,39.5,213.5,1.75,0.75,4.0,27.75,6.175000000000001,5.0,77.575,22.25,64.75,2.725,0.5,1.5,2.0,2.0,2.0,7.25,344.75,4.5,15.0,0.25,0.5,8,@,28.75,16.25,22.0,33.25,282.75,2.75,0.5,2.0,13.0,8.875,7.95,113.075,27.25,97.25,3.5,0.5,2.0,2.0,3.25,3.25,4.0,189.5,8.0,14.5,0.0,0.25,2014-10-23densdg,19.5,32.5,197.0,1.5,1.0,2.0,10.75,6.375,5.7,80.65,26.25,111.0,4.325,0.5,0.75,1.0,2.0,2.0,4.5,214.5,6.25,13.25,0.0,0.75
6,2014-10-26carsea,2014-10-26,2014,sea,car,-6.0,1.416,3.14,4,1,0,1654.6580154319,1599.4989390770002,1658.31855923945,1631.3298879741,1702.3473841549,1614.9423759077,244,84.0,13,9,0,2014-10-26,sea,car,,44.5,8,,23.75,34.25,22.5,38.5,246.5,1.75,0.75,1.75,17.25,6.95,6.15,84.6,27.75,103.25,3.675,0.75,1.5,1.75,2.75,2.75,4.25,212.5,6.75,14.0,0.5,0.75,2014-10-26carsea,25.5,33.5,287.5,2.5,1.0,1.75,11.0,9.15,8.425,117.775,28.25,131.75,4.6,1.75,1.5,2.25,4.25,4.25,2.75,140.5,7.25,13.25,0.0,0.25,8,@,25.5,23.75,20.0,30.75,212.75,1.5,0.5,2.75,16.0,7.375,6.25,94.4,30.0,151.25,5.025,1.0,2.25,2.5,2.25,2.25,5.0,224.25,5.75,14.0,0.25,0.5,2014-10-26carsea,22.75,34.5,245.75,2.0,0.25,0.75,6.5,7.524999999999999,7.175000000000001,106.875,25.0,83.0,3.0,0.5,1.25,1.5,2.5,2.5,5.5,248.75,5.75,13.5,0.25,0.25
7,2014-10-26cinrav,2014-10-26,2014,rav,cin,-2.5,1.666,2.36,-3,0,0,1609.622643409,1556.85496027154,1600.0703711938,1594.914486425,1560.67726467152,1593.8326077879,247,80.0,24,27,0,2014-10-26,rav,cin,,44.5,8,,21.75,28.5,21.5,34.0,212.0,1.25,0.75,1.5,8.5,6.625,6.225,85.4,23.0,105.0,4.25,1.25,1.25,1.75,2.5,2.5,5.0,240.75,3.5,11.25,0.0,0.75,2014-10-26cinrav,24.0,39.25,270.25,1.5,0.75,1.25,6.0,7.025,6.65,85.32499999999999,35.5,171.75,4.85,1.25,2.5,3.25,3.0,3.0,3.5,147.0,5.25,14.5,1.0,1.25,8,@,32.0,13.5,20.25,30.5,269.5,2.5,0.75,1.25,12.0,9.475,8.9,109.54999999999998,29.0,127.25,4.6,1.25,1.75,2.25,3.75,3.75,3.0,139.25,5.5,12.0,0.5,1.0,2014-10-26cinrav,26.25,42.75,254.0,1.25,0.75,3.25,26.5,6.65,5.625,81.3,22.5,87.25,3.975,0.25,1.0,1.5,1.5,1.5,4.25,190.5,5.75,14.25,0.25,1.5
8,2014-10-26clerai,2014-10-26,2014,rai,cle,6.5,3.39,1.37,-10,0,0,1295.77229909748,1397.55570626845,1309.1808513383398,1446.62469268635,1306.5130366521291,1405.34703357946,243,2.0,13,23,0,2014-10-26,rai,cle,,44.5,8,,21.75,21.25,16.0,30.0,245.25,1.25,0.5,1.25,8.0,9.375,8.825,95.275,33.5,122.0,3.55,1.25,1.25,1.75,2.5,2.5,5.0,231.0,4.25,12.75,0.0,1.25,2014-10-26clerai,19.5,34.0,212.5,1.5,1.25,1.75,6.75,6.5,6.025,76.125,32.5,158.0,4.85,1.0,1.25,1.25,2.5,2.5,5.75,251.75,5.75,14.5,0.0,1.0,8,@,16.0,27.25,20.75,35.0,221.0,1.5,1.25,0.75,5.0,6.475,6.2,77.825,19.75,72.5,3.625,0.25,1.25,1.5,1.75,1.75,5.25,227.25,5.75,13.0,0.0,0.25,2014-10-26clerai,22.75,33.5,262.0,2.0,0.5,1.0,7.5,8.1,7.7,105.175,34.25,118.0,3.425,1.0,1.5,1.5,3.25,3.25,3.5,158.0,7.75,14.5,0.25,1.25
9,2014-10-26jaxmia,2014-10-26,2014,mia,jax,-7.0,1.312,3.81,14,1,1,1509.6943162709,1354.6682969702,1464.06892253126,1324.4213715521,1471.35229237468,1328.386987968,249,16.0,27,13,0,2014-10-26,mia,jax,,42.0,8,,15.25,18.0,25.0,37.5,217.5,0.75,2.0,3.0,17.5,6.15,5.324999999999999,63.85,24.5,102.0,4.0,1.0,1.0,1.25,1.75,1.75,5.25,241.75,6.25,14.25,0.25,0.75,2014-10-26jaxmia,22.0,36.0,260.75,1.0,0.25,3.0,13.75,7.7,6.75,90.075,25.5,73.0,2.825,0.25,2.5,2.5,1.5,1.5,5.0,238.75,6.0,15.0,0.0,0.75,8,@,26.0,22.25,22.25,34.25,240.5,1.75,0.75,2.25,10.5,7.6,6.9,95.35,27.75,136.75,5.175,1.0,1.5,2.25,3.0,3.0,3.5,152.5,4.25,11.75,0.5,1.5,2014-10-26jaxmia,23.0,36.25,213.0,2.25,1.0,3.25,15.75,6.4,5.35,92.55,26.75,100.0,3.6,0.75,0.5,0.5,2.75,2.75,4.75,219.5,7.0,14.75,1.0,1.5
