,date,season,away,home,eloaway,elohome,quality,scoreaway,scorehome,playoff,Date,Away Team,Home Team,Playoff Game?,Away Line Close,Away Odds Close,Home Odds Close,Total Score Close,point_diff,win,cover,Key,Week_Home,At_Home,TeamScore_Home,OppScore_Home,PCmp_Home,PAtt_Home,PYds_Home,PTD_Home,Int_Home,Sk_Home,SkYds_Home,PY/A_Home,PNY/A_Home,Rate_Home,RAtt_Home,RYds_Home,RY/A_Home,RTD_Home,FGM_Home,FGA_Home,XPM_Home,XPA_Home,Pnt_Home,PuntYds_Home,3DConv_Home,3DAtt_Home,4DConv_Home,4DAtt_Home,Key_Home,PCmp_Opp_Home,PAtt_Opp_Home,PYds_Opp_Home,PTD_Opp_Home,Int_Opp_Home,Sk_Opp_Home,SkYds_Opp_Home,PY/A_Opp_Home,PNY/A_Opp_Home,Rate_Opp_Home,RAtt_Opp_Home,RYds_Opp_Home,RY/A_Opp_Home,RTD_Opp_Home,FGM_Opp_Home,FGA_Opp_Home,XPM_Opp_Home,XPA_Opp_Home,Pnt_Opp_Home,PuntYds_Opp_Home,3DConv_Opp_Home,3DAtt_Opp_Home,4DConv_Opp_Home,4DAtt_Opp_Home,Week_Away,At_Away,TeamScore_Away,OppScore_Away,PCmp_Away,PAtt_Away,PYds_Away,PTD_Away,Int_Away,Sk_Away,SkYds_Away,PY/A_Away,PNY/A_Away,Rate_Away,RAtt_Away,RYds_Away,RY/A_Away,RTD_Away,FGM_Away,FGA_Away,XPM_Away,XPA_Away,Pnt_Away,PuntYds_Away,3DConv_Away,3DAtt_Away,4DConv_Away,4DAtt_Away,Key_Away,PCmp_Opp_Away,PAtt_Opp_Away,PYds_Opp_Away,PTD_Opp_Away,Int_Opp_Away,Sk_Opp_Away,SkYds_Opp_Away,PY/A_Opp_Away,PNY/A_Opp_Away,Rate_Opp_Away,RAtt_Opp_Away,RYds_Opp_Away,RY/A_Opp_Away,RTD_Opp_Away,FGM_Opp_Away,FGA_Opp_Away,XPM_Opp_Away,XPA_Opp_Away,Pnt_Opp_Away,PuntYds_Opp_Away,3DConv_Opp_Away,3DAtt_Opp_Away,4DConv_Opp_Away,4DAtt_Opp_Away,KeyDate,Day_Home,Date_Home,Type_Home,Outcome_Home,Overtime_Home,Name_Home,Cmp%_Home,ToP_Home,Home_Home,Away_Home,Week_Opp_Home,Day_Opp_Home,Date_Opp_Home,Type_Opp_Home,Outcome_Opp_Home,Overtime_Opp_Home,At_Opp_Home,Name_Opp_Home,TeamScore_Opp_Home,OppScore_Opp_Home,Cmp%_Opp_Home,ToP_Opp_Home,Home_Opp_Home,Away_Opp_Home,Day_Away,Date_Away,Type_Away,Outcome_Away,Overtime_Away,Name_Away,Cmp%_Away,ToP_Away,Home_Away,Away_Away,Week_Opp_Away,Day_Opp_Away,Date_Opp_Away,Type_Opp_Away,Outcome_Opp_Away,Overtime_Opp_Away,At_Opp_Away,Name_Opp_Away,TeamScore_Opp_Away,OppScore_Opp_Away,Cmp%_Opp_Away,ToP_Opp_Away,Home_Opp_Away,Away_Opp_Away
5199,2014-09-04,2014,gnb,sea,1513.9132534251,1677.61870970869,92.0,16,36,0,2014-09-04,gnb,sea,,4.5,3.05,1.434,46.5,-20,0,0,2014-09-04seagnb,1,,36.0,16.0,19.0,28.0,191.0,2.0,0.0,1.0,0.0,6.8,6.6,110.9,37.0,207.0,5.6,2.0,2.0,2.0,4.0,4.0,2.0,66.0,4.0,11.0,1.0,1.0,2014-09-04seagnb,23.0,33.0,175.0,1.0,1.0,3.0,14.0,5.7,4.9,79.7,21.0,80.0,3.8,1.0,1.0,1.0,1.0,1.0,4.0,153.0,6.0,12.0,0.0,1.0,1,@,16.0,36.0,23.0,33.0,175.0,1.0,1.0,3.0,14.0,5.7,4.9,79.7,21.0,80.0,3.8,1.0,1.0,1.0,1.0,1.0,4.0,153.0,6.0,12.0,0.0,1.0,2014-09-04seagnb,19.0,28.0,191.0,2.0,0.0,1.0,0.0,6.8,6.6,110.9,37.0,207.0,5.6,2.0,2.0,2.0,4.0,4.0,2.0,66.0,4.0,11.0,1.0,1.0,2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,2014-09-07,2014,cin,rav,1567.26810084871,1518.3490800694,61.0,23,16,0,2014-09-07,cin,rav,,1.0,2.02,1.884,43.5,7,1,1,2014-09-07ravcin,1,,16.0,23.0,35.0,62.0,329.0,1.0,1.0,3.0,16.0,5.6,5.1,69.9,20.0,94.0,4.7,1.0,1.0,2.0,1.0,1.0,4.0,169.0,8.0,17.0,1.0,2.0,2014-09-07ravcin,25.0,38.0,301.0,1.0,0.0,0.0,0.0,7.9,7.9,98.7,26.0,79.0,3.0,0.0,5.0,6.0,0.0,0.0,4.0,151.0,4.0,14.0,0.0,0.0,1,@,23.0,16.0,25.0,38.0,301.0,1.0,0.0,0.0,0.0,7.9,7.9,98.7,26.0,79.0,3.0,0.0,5.0,6.0,0.0,0.0,4.0,151.0,4.0,14.0,0.0,0.0,2014-09-07ravcin,35.0,62.0,329.0,1.0,1.0,3.0,16.0,5.6,5.1,69.9,20.0,94.0,4.7,1.0,1.0,2.0,1.0,1.0,4.0,169.0,8.0,17.0,1.0,2.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201,2014-09-07,2014,was,htx,1397.82773303525,1385.95828446475,25.0,6,17,0,2014-09-07,was,htx,,3.0,2.59,1.564,43.5,-11,0,0,2014-09-07htxwas,1,,17.0,6.0,14.0,22.0,206.0,1.0,0.0,0.0,0.0,9.4,9.4,109.3,34.0,115.0,3.4,0.0,1.0,1.0,2.0,2.0,6.0,306.0,7.0,14.0,0.0,0.0,2014-09-07htxwas,29.0,37.0,241.0,0.0,0.0,3.0,26.0,7.2,6.0,93.8,23.0,131.0,5.7,1.0,0.0,0.0,0.0,1.0,6.0,246.0,3.0,12.0,0.0,1.0,1,@,6.0,17.0,29.0,37.0,241.0,0.0,0.0,3.0,26.0,7.2,6.0,93.8,23.0,131.0,5.7,1.0,0.0,0.0,0.0,1.0,6.0,246.0,3.0,12.0,0.0,1.0,2014-09-07htxwas,14.0,22.0,206.0,1.0,0.0,0.0,0.0,9.4,9.4,109.3,34.0,115.0,3.4,0.0,1.0,1.0,2.0,2.0,6.0,306.0,7.0,14.0,0.0,0.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,2014-09-07,2014,buf,chi,1448.20023727688,1486.2554596869402,35.0,23,20,0,2014-09-07,buf,chi,,7.0,3.39,1.37,47.0,3,1,1,2014-09-07chibuf,1,,20.0,23.0,34.0,49.0,341.0,2.0,2.0,2.0,8.0,7.1,6.7,85.5,18.0,86.0,4.8,0.0,2.0,2.0,2.0,2.0,4.0,160.0,5.0,12.0,0.0,0.0,2014-09-07chibuf,16.0,22.0,167.0,1.0,1.0,1.0,6.0,7.9,7.3,90.5,33.0,193.0,5.8,1.0,3.0,3.0,2.0,2.0,5.0,215.0,4.0,12.0,0.0,0.0,1,@,23.0,20.0,16.0,22.0,167.0,1.0,1.0,1.0,6.0,7.9,7.3,90.5,33.0,193.0,5.8,1.0,3.0,3.0,2.0,2.0,5.0,215.0,4.0,12.0,0.0,0.0,2014-09-07chibuf,34.0,49.0,341.0,2.0,2.0,2.0,8.0,7.1,6.7,85.5,18.0,86.0,4.8,0.0,2.0,2.0,2.0,2.0,4.0,160.0,5.0,12.0,0.0,0.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203,2014-09-07,2014,cle,pit,1365.3385899392001,1543.15189702566,27.0,27,30,0,2014-09-07,cle,pit,,5.5,3.16,1.413,41.5,-3,0,1,2014-09-07pitcle,1,,30.0,27.0,24.0,35.0,376.0,1.0,1.0,3.0,14.0,11.1,9.9,101.6,29.0,127.0,4.4,2.0,3.0,3.0,3.0,3.0,6.0,262.0,4.0,12.0,1.0,1.0,2014-09-07pitcle,18.0,30.0,198.0,1.0,0.0,3.0,24.0,7.4,6.0,90.7,31.0,191.0,6.2,2.0,2.0,2.0,3.0,3.0,7.0,314.0,2.0,11.0,0.0,0.0,1,@,27.0,30.0,18.0,30.0,198.0,1.0,0.0,3.0,24.0,7.4,6.0,90.7,31.0,191.0,6.2,2.0,2.0,2.0,3.0,3.0,7.0,314.0,2.0,11.0,0.0,0.0,2014-09-07pitcle,24.0,35.0,376.0,1.0,1.0,3.0,14.0,11.1,9.9,101.6,29.0,127.0,4.4,2.0,3.0,3.0,3.0,3.0,6.0,262.0,4.0,12.0,1.0,1.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5204,2014-09-07,2014,car,tam,1527.7183467167001,1454.7972245549001,37.0,20,14,0,2014-09-07,car,tam,,5.5,3.01,1.444,38.5,6,1,1,2014-09-07tamcar,1,,14.0,20.0,22.0,35.0,162.0,2.0,2.0,3.0,21.0,5.2,4.3,69.0,17.0,102.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,220.0,6.0,12.0,0.0,0.0,2014-09-07tamcar,24.0,34.0,221.0,2.0,0.0,1.0,9.0,6.8,6.3,107.6,33.0,113.0,3.4,0.0,2.0,3.0,2.0,2.0,6.0,282.0,6.0,15.0,1.0,1.0,1,@,20.0,14.0,24.0,34.0,221.0,2.0,0.0,1.0,9.0,6.8,6.3,107.6,33.0,113.0,3.4,0.0,2.0,3.0,2.0,2.0,6.0,282.0,6.0,15.0,1.0,1.0,2014-09-07tamcar,22.0,35.0,162.0,2.0,2.0,3.0,21.0,5.2,4.3,69.0,17.0,102.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,220.0,6.0,12.0,0.0,0.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5205,2014-09-07,2014,oti,kan,1460.44985838561,1515.2588065661,39.0,26,10,0,2014-09-07,oti,kan,,3.0,2.44,1.625,45.5,16,1,1,2014-09-07kanoti,1,,10.0,26.0,19.0,35.0,178.0,1.0,3.0,4.0,24.0,5.8,4.6,42.3,17.0,67.0,3.9,0.0,1.0,2.0,1.0,1.0,5.0,213.0,1.0,12.0,1.0,2.0,2014-09-07kanoti,22.0,33.0,243.0,2.0,0.0,4.0,23.0,8.1,6.6,108.5,38.0,162.0,4.3,0.0,4.0,4.0,2.0,2.0,6.0,304.0,7.0,16.0,0.0,0.0,1,@,26.0,10.0,22.0,33.0,243.0,2.0,0.0,4.0,23.0,8.1,6.6,108.5,38.0,162.0,4.3,0.0,4.0,4.0,2.0,2.0,6.0,304.0,7.0,16.0,0.0,0.0,2014-09-07kanoti,19.0,35.0,178.0,1.0,3.0,4.0,24.0,5.8,4.6,42.3,17.0,67.0,3.9,0.0,1.0,2.0,1.0,1.0,5.0,213.0,1.0,12.0,1.0,2.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5206,2014-09-07,2014,min,ram,1466.29805316706,1516.89455416438,27.0,34,6,0,2014-09-07,min,ram,,3.0,2.4,1.645,43.5,28,1,1,2014-09-07rammin,1,,6.0,34.0,24.0,36.0,246.0,0.0,2.0,5.0,27.0,7.6,6.0,63.0,22.0,72.0,3.3,0.0,2.0,3.0,0.0,0.0,6.0,279.0,4.0,14.0,0.0,0.0,2014-09-07rammin,17.0,25.0,170.0,2.0,0.0,0.0,0.0,6.8,6.8,113.7,32.0,185.0,5.8,1.0,2.0,2.0,4.0,4.0,5.0,237.0,3.0,12.0,0.0,0.0,1,@,34.0,6.0,17.0,25.0,170.0,2.0,0.0,0.0,0.0,6.8,6.8,113.7,32.0,185.0,5.8,1.0,2.0,2.0,4.0,4.0,5.0,237.0,3.0,12.0,0.0,0.0,2014-09-07rammin,24.0,36.0,246.0,0.0,2.0,5.0,27.0,7.6,6.0,63.0,22.0,72.0,3.3,0.0,2.0,3.0,0.0,0.0,6.0,279.0,4.0,14.0,0.0,0.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207,2014-09-07,2014,clt,den,1548.50421574725,1646.0072787023,90.0,24,31,0,2014-09-07,clt,den,,8.0,4.3,1.263,52.5,-7,0,1,2014-09-07denclt,1,,31.0,24.0,22.0,36.0,259.0,3.0,0.0,1.0,10.0,7.5,7.0,110.8,32.0,102.0,3.2,1.0,1.0,1.0,4.0,4.0,5.0,234.0,7.0,14.0,0.0,0.0,2014-09-07denclt,35.0,53.0,354.0,2.0,2.0,3.0,16.0,7.0,6.3,81.8,14.0,54.0,3.9,1.0,1.0,1.0,3.0,3.0,4.0,199.0,4.0,13.0,2.0,4.0,1,@,24.0,31.0,35.0,53.0,354.0,2.0,2.0,3.0,16.0,7.0,6.3,81.8,14.0,54.0,3.9,1.0,1.0,1.0,3.0,3.0,4.0,199.0,4.0,13.0,2.0,4.0,2014-09-07denclt,22.0,36.0,259.0,3.0,0.0,1.0,10.0,7.5,7.0,110.8,32.0,102.0,3.2,1.0,1.0,1.0,4.0,4.0,5.0,234.0,7.0,14.0,0.0,0.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5208,2014-09-07,2014,jax,phi,1360.494909750283,1532.4188787724,24.0,17,34,0,2014-09-07,jax,phi,,10.0,5.35,1.194,49.0,-17,0,0,2014-09-07phijax,1,,34.0,17.0,27.0,45.0,275.0,2.0,1.0,5.0,47.0,7.2,5.5,83.1,32.0,145.0,4.5,1.0,2.0,2.0,4.0,4.0,6.0,230.0,8.0,19.0,1.0,1.0,2014-09-07phijax,24.0,43.0,242.0,2.0,0.0,3.0,24.0,6.2,5.3,87.5,24.0,64.0,2.7,0.0,1.0,3.0,2.0,2.0,8.0,372.0,2.0,14.0,0.0,1.0,1,@,17.0,34.0,24.0,43.0,242.0,2.0,0.0,3.0,24.0,6.2,5.3,87.5,24.0,64.0,2.7,0.0,1.0,3.0,2.0,2.0,8.0,372.0,2.0,14.0,0.0,1.0,2014-09-07phijax,27.0,45.0,275.0,2.0,1.0,5.0,47.0,7.2,5.5,83.1,32.0,145.0,4.5,1.0,2.0,2.0,4.0,4.0,6.0,230.0,8.0,19.0,1.0,1.0,2014-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
