,Key,date,season,away,home,Away Line Close,Away Odds Close,Home Odds Close,point_diff,win,cover,eloaway,elohome,eloaway_lag1,elohome_lag1,eloaway_lag2,elohome_lag2
0,2014-09-18atltam,2014-09-18,2014,tam,atl,6.5,3.45,1.361,-42,0,0,1426.3752762373,1467.5724880338998,1436.1122022622,1489.9789508258998,1454.7972245549,1458.286597778558
1,2014-09-21bufsdg,2014-09-21,2014,sdg,buf,2.5,2.18,1.769,12,1,1,1597.6319953885,1505.18911709948,1559.75090476859,1472.7518088533,1566.1455805232,1448.20023727688
2,2014-09-21carpit,2014-09-21,2014,pit,car,3.0,2.71,1.526,18,1,1,1515.714887382906,1689.5523975154,1549.66240485388,1677.0706183633,1543.15189702566,1527.7183467167
3,2014-09-21cinoti,2014-09-21,2014,oti,cin,6.5,3.35,1.377,-26,0,0,1460.78865931487,1609.7033526251998,1502.56893324015,1595.3605910510998,1460.44985838561,1567.26810084871
4,2014-09-21clerav,2014-09-21,2014,rav,cle,-2.0,1.813,2.11,2,1,0,1533.3203598973648,1385.2411519313998,1498.56439204512,1364.2615396613,1518.3490800694,1365.3385899392
5,2014-09-21crdsfo,2014-09-21,2014,sfo,crd,-3.0,1.666,2.36,-9,0,0,1625.7578784191412,1537.0505044195002,1672.70959863192,1519.4342008727,1654.43734640081,1553.72137549874
6,2014-09-21detgnb,2014-09-21,2014,gnb,det,1.5,2.11,1.813,-12,0,0,1517.4691582699002,1485.5885315024,1497.8035491654,1505.01362516652,1513.9132534251,1466.3218243943
7,2014-09-21jaxclt,2014-09-21,2014,clt,jax,-6.0,1.384,3.31,27,1,1,1524.5566025806,1316.82701895696,1540.6630443879,1353.81614070626,1548.50421574725,1360.494909750283
8,2014-09-21miakan,2014-09-21,2014,kan,mia,6.0,3.16,1.413,19,1,1,1458.473882355084,1484.4055186286,1465.04820538863,1511.53553866034,1515.2588065661,1478.48642174908
9,2014-09-21normin,2014-09-21,2014,min,nor,10.0,5.42,1.19,-11,0,0,1473.1739016078,1549.32798002137,1517.93177092771,1568.8255692846,1466.29805316706,1586.0091601003
10,2014-09-21nwerai,2014-09-21,2014,rai,nwe,14.0,8.04,1.111,-7,0,1,1333.22587513691,1615.5383116555402,1356.473827787,1586.46117476729,1363.73160271621,1625.69598310972
11,2014-09-21nyghtx,2014-09-21,2014,htx,nyg,1.0,2.03,1.877,-13,0,0,1442.59247701175,1432.990441485,1410.05250904875,1448.9348215215,1385.95828446475,1477.8339978085
12,2014-09-21phiwas,2014-09-21,2014,was,phi,4.0,2.87,1.478,-3,0,1,1349.0705322151,1558.52430402923,1379.301542573724,1539.6900206306768,1397.82773303525,1532.4188787724
13,2014-09-21ramdal,2014-09-21,2014,dal,ram,-1.5,1.833,2.09,3,1,1,1508.5471880589998,1375.5490335339998,1474.44767156422,1351.215040385,1498.99448955308,1516.89455416438
14,2014-09-21seaden,2014-09-21,2014,den,sea,4.0,2.86,1.48,-6,0,0,1661.3861450787,1665.71226124648,1654.0975769692998,1692.5409183635402,1646.0072787023,1677.61870970869
15,2014-09-22nyjchi,2014-09-22,2014,chi,nyj,1.5,2.08,1.84,8,1,1,1524.36969324909,1461.22815984852,1474.557578928666,1475.871239899558,1486.2554596869402,1461.51791532963
16,2014-09-25wasnyg,2014-09-25,2014,nyg,was,3.0,2.57,1.574,31,1,1,1463.11033638107,1360.4220433181,1432.990441485,1349.0705322151,1448.9348215215,1379.301542573724
